Instancja,Greedy (Min),Tabu (Min),Rozmiar Tabu,ID Próby
gc500,87,70,4,4
gc_1000,153,136,4,3
instance_1_20,12,12,3,0
instance_1_100,15,10,3,0
instance20,7,6,3,0
instance100,21,18,3,0
inst_01_50_random,12,10,3,0
inst_02_150_sparse,8,6,3,0
inst_03_250_flat3,4,3,3,0
inst_04_400_dense,110,87,7,0
inst_05_500_geo,18,18,3,0
inst_06_800_flat10,56,11,8,1
inst_07_1000_scale_free,10,9,3,0
inst_08_1500_random_hard,172,158,3,4
inst_09_2500_sparse,35,32,3,0
inst_10_3500_flat50,44,42,3,0
inst_11_5000_massive,7,7,3,0
fpsol2.i.1,65,65,3,0
mulsol.i.1,49,49,3,0
mulsol.i.2,31,31,3,0
mulsol.i.3,31,31,3,0
flat300_20_0,43,33,3,1
flat300_26_0,42,34,3,0
flat300_28_0,43,34,3,0
flat1000_60_0,117,104,4,2
flat1000_76_0,121,105,3,2
flat1000,120,105,4,2
